asset_id,ownership,type,orientation,role,path
operation_source,fixed,video,16:9,full real operation reference,assets/fixed/source/operation-reference-full.mp4
operation_master,fixed,video,9:16,7.9-second reusable middle module,assets/fixed/video/operation-master-7.9s.mp4
operation_master_omni,fixed,video,9:16,comparison-only Omni master with generated UI,assets/fixed/video/operation-master-omni-tv-7.5s.mp4
omni_raw_library,fixed,video,9:16,raw generated take with partial approval metadata,assets/fixed/generated-library/omni-flash-ext/2026-08-25/omni-tv-single-take-raw-8s.mp4
omni_asset_record,fixed,json,n/a,model provenance and approved time ranges,assets/fixed/generated-library/omni-flash-ext/2026-08-25/asset-record.json
downloader_real_source,fixed,image,horizontal,authoritative Downloader code screen,assets/fixed/screens/source/downloader-real-code-2252960.jpg
downloader_real_vertical,fixed,image,9:16,complete real UI plus enlarged code and Go region,assets/fixed/screens/adapted-vertical/downloader-real-code-2252960-vertical.png
jaguartv_real_source,fixed,image,16:9,authoritative JaguarTV interface proof,assets/fixed/screens/source/jaguartv-real-interface.jpg
jaguartv_real_vertical,fixed,image,9:16,vertical adaptation of real JaguarTV interface,assets/fixed/screens/adapted-vertical/jaguartv-real-interface-vertical.png
module_omni_room,fixed,video,9:16,approved physical room TV and remote plate,assets/fixed/video/modules/01-omni-living-room-remote-approved-2.0s.mp4
module_downloader_real,fixed,video,9:16,real Downloader code module,assets/fixed/video/modules/02-downloader-real-code-approved-3.0s.mp4
module_jaguartv_real,fixed,video,9:16,real JaguarTV proof module,assets/fixed/video/modules/03-jaguartv-real-proof-approved-2.5s.mp4
operation_master_hybrid,fixed,video,9:16,production 7.5-second hybrid middle master,assets/fixed/video/operation-master-hybrid-real-ui-7.5s.mp4
logo_primary,replaceable,image,square,post-production logo,assets/replaceable/logo/jaguartv-logo-primary.png
download_strip,replaceable,image,horizontal,Downloader code banner,assets/replaceable/banners/static/downloader-code-strip-2252960.jpg
banner_motion_01,replaceable,video,16:9,horizontal animated banner,assets/replaceable/banners/motion/banner-motion-horizontal-01.mp4
banner_motion_02,replaceable,video,16:9,horizontal animated banner,assets/replaceable/banners/motion/banner-motion-horizontal-02.mp4
cta_motion_01,replaceable,video,9:16,default animated CTA,assets/replaceable/cta/motion/cta-motion-vertical-01.mp4
cta_horizontal_01,replaceable,image,16:9,control-room CTA,assets/replaceable/cta/static-horizontal/cta-control-room-01.jpg
cta_horizontal_02,replaceable,image,16:9,green football CTA,assets/replaceable/cta/static-horizontal/cta-green-football-02.jpg
cta_horizontal_03,replaceable,image,16:9,stadium gold CTA,assets/replaceable/cta/static-horizontal/cta-stadium-gold-03.jpg
cta_vertical_01,replaceable,image,9:16,neon stadium CTA,assets/replaceable/cta/static-vertical/cta-neon-stadium-01.jpg
cta_vertical_02,replaceable,image,9:16,simple green CTA,assets/replaceable/cta/static-vertical/cta-green-simple-02.jpg
cta_vertical_03,replaceable,image,9:16,control-room CTA,assets/replaceable/cta/static-vertical/cta-control-room-03.jpg
poster_daily,replaceable,image,variable,required daily match poster,assets/replaceable/poster/
